万年青		强心利尿、清热解毒、止血的功效
茜草		凉血、止血、祛瘀、通经的功效，临床用于治疗吐血、衄血、崩漏、外伤出血、经闭瘀阻、关节痹痛、跌扑肿痛
茺蔚子		活血调经、清肝明目的功效，临床用于治疗月经不调、经闭、痛经、目赤翳障、头晕胀痛
荔枝草		凉血止血、利水消肿、解毒杀虫的功效，临床用于治疗咳血等
荷叶		清暑解暑、升发清阳、凉血止血的功效，临床用于治疗暑热烦渴、暑湿泄泻、脾虚泄泻、血热吐衄、便血崩漏
莪术		行气破血、消积止痛的功效，临床用于治疗癥瘕痞块、瘀血经闭、食积胀痛、早期宫颈癌
莲房		化瘀止血的功效，临床用于治疗崩漏、尿血、痔疮出血、产后瘀阻、恶露不尽
莴苣		活血祛瘀、泻热利水、杀虫蛇毒的功效，临床用于治疗小便不利、尿血等
菠菜		养血止血、敛阴燥湿、疏散风热、利肺润肠的功效，临床用于治疗便血、衄血、消渴等
蒲黄		止血、化痰、通淋的功效；临床用于治疗吐血、衄血、咯血、崩漏、外伤出血、经闭痛经、脘腹刺痛、跌扑肿痛、血淋涩痛
蓍草		祛风止痛、活血、解毒的功效，临床用于治疗感冒发热、头痛等
蓼蓝		清热解毒、凉血止血的功效
蕹菜		凉血止血、滑肠通便、清热利湿、滋阴补肾、清肺止咳的功效，临床用于治疗鼻衄、便秘、淋浊等
藕节		止血、消瘀的功效，临床用于治疗吐血、咯血、衄血、尿血、崩漏
虻虫		逐瘀、破积通经的功效
蚕砂		祛风除湿、活血定痛的功效，临床用于治疗风湿痹痛、风疹瘙痒、头风头痛等
血余炭		止血、化瘀的功效，临床用于治疗吐血、衄血、尿血、崩漏下血、外伤出血
血竭		祛瘀定痛、止血生肌的功效，临床用于治疗跌扑折损、内伤瘀痛、外伤出血不止
象皮		止血、敛疮的功效，临床用于治疗外伤出血、溃疡
赤石脂		涩肠、止血、生肌敛疮的功效，临床用于治疗久泻久痢、大便出血、崩漏带下，外治疮疡不敛、湿疹脓水浸淫
赭石		平肝潜阳、降逆、止血的功效，用于眩晕耳鸣、呕吐、噫气、呃逆、喘息、吐血、衄血、崩漏下血
辣蓼		祛风湿、活血祛瘀的功效
过山龙		活血散瘀、解毒消肿、祛风除痹、生肌长骨的功效，临床用于治疗跌打损伤、疮痈肿疖、痹症
透骨草		祛风、除湿舒筋、活血、止痛、解毒化疹的功效，临床用于治疗风湿痹痛等
酢浆草		清热利湿、凉血散瘀、消肿解毒的功效，临床用于治疗泄泻、痢疾、黄疸、淋病等
金锦香		祛风化湿、止血消瘀的功效，临床用于治疗咳嗽、哮喘、吐血等
金鱼藻		凉血止血、清热利水功效，临床用于治疗血热吐血等
铁苋菜		清热、利水、杀虫、凉血止血的功效，临床用于治疗痢疾等
银杏叶		敛肺、平喘、活血化瘀、止痛的功效，临床用于治疗肺虚咳喘、冠心病、心绞痛、高脂血症
青黛		清热解毒、凉血、定惊的功效，临床用于治疗温毒发斑、血热吐衄、胸痛咳血、口疮、痄腮、喉痹、小儿惊痫，宜入丸散，外用适量
马勃		清肺利咽、止血的功效，临床用于治疗风热郁肺咽痛、咳嗽、音哑，外治鼻衄、创伤出血
马蔺子		清热利湿、解毒消肿、凉血止血、祛湿通痹、健脾和胃的功效
马鞭草		活血散瘀、截疟、解毒、利水消肿的功效，临床用于治疗癥瘕积聚、经闭痛经、疟疾、喉痹、水肿、热淋
马齿苋		清热解毒、凉血止血的功效，临床用于治疗热毒血痢、痈肿疔疮、湿疹、丹毒、蛇虫咬伤、便血、痔血、崩漏下血
鬼箭羽		破血、通经、杀虫的功效，临床用于治疗经闭、癥瘕
鸡冠花		收敛止血、止带、止痢的功效，临床用于治疗吐血、崩漏、便血、痔血、赤白带下、久痢不止
鹿茸草		凉血止血、清热解毒、祛湿止痛、解毒消肿的功效，临床用于治疗感冒心中烦热、咳嗽、吐血等
鹿衔草		祛风湿、强筋骨、止血的功效，临床用于治疗风湿痹痛、腰膝无力、月经过多、久咳劳嗽
麝香		开窍醒神、活血通经、消肿止痛的功效，临床用于治疗热病神昏、中风痰厥、气郁暴厥、中恶昏迷、经闭、癥瘕、难产死胎、心腹暴痛、痈肿瘰疬、咽喉肿痛、跌扑伤痛、痹痛麻木等
黄鳝		活血的功效
鼠妇		破血、利水解毒、止痛的功效
龙葵		清热解毒、活血消肿的功效，临床用于治疗疔疮、痈肿、丹毒
龙骨		镇惊安神、敛汗固精、止血涩肠、生肌敛疮的功效
冬葵子		祛寒的功效
制川乌		祛风除湿、温经止痛、麻醉止痛的功效，临床用于治疗风寒湿痹、关节疼痛，心腹冷痛、寒疝作痛、麻醉止痛
制草乌		祛风除湿、温经止痛的功效，临床用于治疗风寒湿痹、关节疼痛、心腹冷痛、寒疝作痛、麻醉止痛
卡瓦胡椒根		为胡椒属植物。
小茴香		散寒止痛、理气和胃的功效，临床用于治疗寒疝腹痛、睾丸偏坠、痛经、少腹冷痛、脘腹胀痛、食少吐泻、睾丸鞘膜积液
山胡椒		温中散寒的功效，临床用于治疗中风不语、心腹冷痛等
干姜		温中散寒、回阳通脉、燥湿消痰的功效，用于脘腹冷痛、呕吐泄泻、肢冷脉微、痰饮喘咳
橘红		散寒、燥湿、利气、消痰的功效，临床用于治疗风寒痰嗽、喉痒痰多、食积伤酒、呕恶痞闷
母丁香		温中降逆、补肾助阳的功效，临床用于治疗脾胃虚寒、呃逆呕吐、食少吐泻、心腹冷痛、肾虚阳痿
炮姜		温中散寒、温经止血的功效，临床用于治疗脾胃虚寒、腹痛吐泻、吐衄崩漏、阳虚失血等
胡椒		温中散寒、下气、消痰的功效，临床用于治疗胃寒呕吐、腹痛泄泻、食欲不振、癫痫痰多
芥子		温肺豁痰利气、散结通络止痛的功效，临床用于治疗寒痰喘咳、胸胁胀痛、痰滞经络、关节麻木、疼痛、痰湿流注、阻疽肿毒
花椒		温中止痛、杀虫止痒的功效，临床用于治疗脘腹冷痛、呕吐泄泻、虫积腹痛，蛔虫症，外治湿疹瘙痒
荜澄茄		温中散寒、行气止痛的功效，临床用于治疗胃寒呕逆、脘腹冷痛、寒疝郁滞、小便浑浊
荜茇		温中散寒、下气止痛的功效，临床用于治疗脘腹冷痛、呕吐、泄泻、偏头痛，外治牙痛
辣椒		温中散寒、开胃消食、活血化瘀、益气消肿的功效，临床用于治疗寒滞腹痛、冻疮、疥癣
附子		回阳救逆、补火助阳、逐风寒湿邪的功效，临床用于治疗亡阳虚脱、肢冷脉微、阳痿、宫冷、心腹冷痛、虚寒吐泻、阴寒水肿、阳虚外感、寒湿痹痛
甜瓜		生津止渴、清暑热、解烦渴、利小便的功效，临床用于治疗消渴等
白扁豆		健脾化湿、和中消暑的功效，临床用于脾胃虚弱、食欲不振、大便溏泻、白带过多、暑湿吐泻、胸闷腹胀
绿豆		清热解毒、消暑利水的功效，临床用于治疗暑热烦渴等
香薷		发汗解表、和中利湿的功效，临床用于治疗暑湿感冒、恶寒发热、头痛无汗、腹痛吐泻、小便不利
丁公藤		祛风除湿、消肿止痛的功效，临床用于治疗风湿痹痛、半身不遂、跌打肿痛
两头尖		祛风湿、消痈肿的功效，临床用于治疗风寒湿痹、四肢拘挛、骨节疼痛，痈肿溃烂
乌头		祛风、散寒、燥湿、益火助阳的功效，临床用于治疗风寒湿痹等
九节茶		抗菌消炎、祛风除湿、活血止痛的功效，临床用于治疗肺炎等
买麻藤		祛风除湿、活血散瘀、止咳化痰的功效，临床用于治疗跌打损伤、风湿骨痛、鹤膝风等
五加皮		祛风湿，补肝肾，强筋骨的功效，临床用于治疗风湿痹痛，筋骨痿软，小儿行迟，水肿、脚气
伸筋草		祛风除湿、舒筋活络的功效，临床用于治疗关节酸痛、屈伸不利
八厘麻		降压、驱风除湿、化痰止咳、散瘀止痛的功效，临床用于治疗风寒湿痹等
八角茴香		温阳散寒、理气止痛的功效，临床用于治疗寒疝腹痛、肾虚腰痛、胃寒呕吐、脘腹冷痛
制川乌		祛风除湿、温经止痛、麻醉止痛的功效，临床用于治疗风寒湿痹、关节疼痛，心腹冷痛、寒疝作痛、麻醉止痛
千年健		祛风湿、壮筋骨的功效，用于风寒湿痹、腰膝冷痛、下肢拘挛麻木
地枫皮		祛风除湿、行气止痛的功效，临床用于治疗风湿痹痛、腰肌劳损
天山雪莲		本品系维吾尔族习用药材。为菊科植物天山雪莲的干燥地上部分。维吾尔医：补肾活血，强筋骨，营养神经，调节异常体液；用于风湿性关节炎、关节疼痛、肺寒咳嗽、肾与小腹冷痛、白带过多等。中医：温肾助阳，祛风胜湿，通经活血；用于风寒湿痹痛、类风湿性关节炎、小腹冷痛、月经不调。
威灵仙		祛风除湿、通络止痛的功效，临床用于治疗风湿痹痛、肢体麻木、筋脉拘挛、屈伸不利、骨哽咽喉
守宫		祛风、定惊散结、解毒的功效
寻骨风		祛风通络的功效，临床用于治疗风湿关节痛等
尖尾枫		祛风湿的功效
川乌		祛风除湿、温经止痛、麻醉止痛的功效，临床用于治疗风寒湿痹、关节疼痛、心腹冷痛、寒疝作痛、麻醉止痛
广防己		祛风止痛、清热利水的功效，临床用于治疗湿热身痛等
徐长卿		祛风化湿、止痒止痛的功效，临床用于治疗风湿痹痛、胃痛胀满、牙痛、腰痛、跌扑损伤、荨麻疹、湿疹
急性子		破血软坚、消积的功效，临床用于治疗癥瘕痞块、经闭、噎膈
文冠果		祛风除湿的功效，临床用于治疗风湿性关节炎等
月见草		强筋壮骨、祛风除湿的功效，临床用于治疗风湿病、关节痛
松节		祛风、燥湿、舒筋、通络的功效，临床用于治疗历节风痛等
桉油		为祛风止痛的功效，临床用于治疗皮肤瘙痒、神经痛
桑		祛风湿的功效
桑枝		祛风湿、利关节的功效，临床用于治疗肩臂、关节酸痛麻木
槲寄生		祛风湿、补肝肾、强筋骨、安胎的功效，用于风湿痹痛、腰膝酸软、胎动不安
海桐皮		祛风湿、通经络、杀虫的功效，临床用于治疗风湿痹痛等
海风藤		祛风湿、通经络、止痹痛的功效，临床用于治疗风寒湿痹、肢体疼痛、筋脉拘挛、屈伸不利
石楠藤		祛风湿的功效
祛风湿散寒药		祛风湿、散寒止痛、舒筋通络等作用，适用于风湿痹痛属寒者的药物
祛风湿清热药		祛风胜湿、通络止痛、清热消肿等功效，临床用于治疗风湿热痹、关节红肿热痛诸症的药物
秦艽		祛风湿、清湿热、止痹痛的功效，临床用于治疗风湿痹痛、筋脉拘挛、骨节酸痛、日晡潮热、小儿疳积发热
细辛		祛风散寒、通窍止痛、温肺化饮的功效，临床用于治疗风寒感冒、头痛、牙痛、鼻塞鼻渊、风湿痹痛、痰饮喘咳
络石藤		祛风通络、凉血消肿的功效，临床用于治疗风湿热痹、筋脉拘挛、腰膝酸痛、喉痹、痈肿、跌扑损伤
羊角拗		祛风除湿、通经活络、解疮毒、杀虫止痒的功效，临床用于治疗风湿肿痛等
苍耳		祛风散热、解毒杀虫的功效，临床用于治疗头风、湿痹拘挛、热毒疮疡等
苍耳子		散风除湿、通鼻窍的功效，临床用于治疗风寒头痛、鼻渊流涕、风疹瘙痒、湿痹拘挛
苦艾		祛风湿的功效，临床用于治疗关节肿痛
苦豆根		祛风湿的功效，临床用于治疗风湿性关节疼痛等
草乌		祛风除湿、温经止痛的功效，临床用于治疗风寒湿痹、关节疼痛、心腹冷痛、寒疝伤痛及麻醉止痛
蕲蛇		祛风、通络、止痉的功效，临床用于治疗风湿顽痹、麻木拘挛、中风口眼?斜、半身不遂、抽搐痉挛、破伤风、麻风疥癣
蕲蛇酶注射剂		活血祛瘀功效，临床用于治疗中风、脑梗塞、心脑血管疾病
虎杖		祛风利湿、散瘀定痛、止咳化痰的功效，临床用于治疗关节痹痛、湿热黄疸、经闭、癥瘕、水火烫伤、跌扑损伤、痈肿疮毒、咳嗽痰多
豨莶草		祛风湿、利关节、解毒的功效，临床用于治疗风湿痹痛、筋骨无力、腰膝酸软、四肢麻痹、半身不遂、风疹湿疮
豹骨		追风定痛、强筋健骨的功效，临床用于治疗筋骨疼痛、风寒湿痹、四肢拘挛、麻木、腰膝酸楚
路路通		祛风活络、利水通经的功效，临床用于治疗关节痹痛、麻木拘挛、水肿胀满、乳少经闭
金钱白花蛇		祛风、通络、止痉的功效，临床用于治疗风湿顽痹、麻木拘挛、中风口?、半身不遂、抽搐痉挛、破伤风、麻风疥癣、瘰疬恶疮
闹羊花		驱风除湿、散瘀定痛的功效，临床用于治疗风湿痹痛、跌打损伤、皮肤顽癣
雪上一枝蒿		消炎止痛、祛风除湿的功效，临床用于治疗跌打损伤等
雷公藤		祛风湿、消炎解毒的功效，临床用于治疗风湿性关节炎
首乌藤		养血安神、祛风通络的功效，临床用于治疗失眠多梦、血虚身痛、风湿痹痛，外治皮肤瘙痒
香加皮		祛风湿、强筋骨的功效，临床用于治疗风寒湿痹、腰膝酸软、心悸气短、下肢浮肿
马桑		清热解毒、祛风除湿、祛痰消痞、清热明目、生肌止痛、散瘀消肿的功效，临床用于治疗痈疽等
马钱		祛风湿的功效
乌梢蛇		祛风、通络、止痉的功效，临床用于治疗风湿顽痹、麻木拘挛、中风口眼喎斜
亚麻子		润燥、祛风的功效，临床用于治疗肠燥便秘、皮肤干燥瘙痒、毛发枯萎脱落
北豆根		清热解毒、祛风止痛的功效，临床用于治疗咽喉肿痛、肠炎痢疾、风湿痹痛
大风子		祛风燥湿、攻毒杀虫的功效，临床用于治疗麻风等
忍冬藤		清热解毒、疏风通络的功效，临床用于治疗温病发热、热毒血痢、痈肿疮疡、风湿热痹、关节红肿热痛
杠柳		属萝藦科杠柳属植物，其干燥根皮为中药香加皮。
紫云英		祛风明目的功效
胡桃青皮		清热解毒、祛风疗癣、止痛、止痢的功效，临床用于治疗胃痛等病症
虎骨		追风定痛、健骨镇惊的功效，临床用于治疗历节风痛、惊悸癫痫、痔瘘脱肛等
蚕砂		祛风除湿、活血定痛的功效，临床用于治疗风湿痹痛、风疹瘙痒、头风头痛等
蛇蜕		祛风、定惊、解毒、退翳的功效，临床用于治疗小儿惊痫、抽搐痉挛、翳障、喉痹、疔肿、皮肤瘙痒
蜂房		祛风、攻毒、杀虫、止痛的功效，临床用于治疗龋齿牙痛、疮疡肿毒、乳痈、瘰疬、皮肤顽癣、鹅掌风
蜘蛛		为圆蛛科动物大腹圆蛛的全体，有毒。
蝮蛇		祛风、攻毒的功效
醉鱼草		祛风、杀虫、活血的功效，临床用于治疗流行性感冒等
钩吻		祛风、攻毒、消肿、止痛的功效，临床用于治疗疥癞、风湿痹痛等
马钱子		通络止痛、散结消肿的功效，临床用于治疗风湿顽痹、麻木瘫痪、跌扑损伤、痈疽肿痛、小儿麻痹后遗症、类风湿性关节痛
黑大豆		活血、利水、祛风、解毒、明目退翳的功效，临床用于治疗水肿胀满等
乌梅		敛肺、涩肠、生津、安蛔的功效，临床用于治疗肺虚久咳、久痢滑肠、虚热消渴，蛔厥呕吐腹痛、胆道蛔虫症
五味子		收敛固涩、益气生津、补肾宁心的功效，临床用于治疗久嗽虚喘、梦遗滑精、遗尿尿频、久泻不止、自汗、盗汗、津伤口渴、短气脉虚、内热消渴、心悸失眠
人参		大补元气、复脉固脱、补脾益肺、生津、安神的功效，临床用于治疗体虚欲脱、肢冷脉微、脾虚食少、肺虚喘咳、津伤口渴、内热消渴、久病虚羸、惊悸失眠、阳痿宫冷、心力衰竭、心源性休克等
人参叶		补气、益肺、祛暑、生津的功效，临床用于治疗气虚咳嗽、虚热烦躁、津伤口渴、头目不清、四肢倦乏
人参果		强心补肾、生津止渴、补脾健胃、调经活血的功效
人参芦		涌吐、升阳的功效，临床用于治疗虚人痰壅阻膈、气陷泄泻等
仙茅		补肾阳、强筋骨、祛寒湿的功效，用于阳痿精冷、筋骨痿软、腰膝冷痹、阳虚冷泻
伊贝母		清热润肺、化痰止咳的功效，用于治疗肺热咳嗽、干咳少痰、阴虚劳嗽、咳痰带血
党参		补中益气、健脾益肺的功效，临床用于治疗脾肺虚弱、气短心悸、食少便溏、虚喘咳嗽、内热消渴
冬虫夏草		补肺益肾、止血、化痰的功效，临床用于治疗久咳虚喘、劳嗽咯血、阳痿遗精、腰膝酸痛
凤凰衣		养阴、清肺的功效，临床用于治疗久咳、咽痛失音、瘰疬结核等
列当		补肾壮阳、强筋、止泻的功效，临床用于治疗肾虚腰膝冷痛等
制何首乌		补肝肾、益精血、乌须发、强筋骨的功效，临床用于治疗血虚萎黄、眩晕耳鸣、须发早白、腰膝酸软、肢体麻木、崩漏带下、久疟体虚、高血脂
刺五加		益气健脾、补肾安神的功效，临床用于治疗脾肾阳虚、体虚乏力、食欲不振、腰膝酸痛、失眠多梦
北沙参		养阴清肺、益胃生津的功效，临床用于治疗肺热燥咳、虚痨久咳等
南五味子		收敛固涩、益气生津、补肾宁心的功效，临床用于治疗久嗽虚喘、梦遗滑精、遗尿尿频、久泻不止、自汗、盗汗、津伤口渴、短气脉虚、内热消渴、心悸失眠
南沙参		养阴清肺、化痰、益气的功效，临床用于治疗肺热燥咳、阴虚劳嗽、干咳痰粘、气阴不足、烦热口干
南瓜		补中益气、消炎止痛、解毒杀虫的功效，临床用于治疗脚气病等
南瓜子		驱虫、利尿、止咳的功效，临床用于治疗绦虫、蛔虫等
哈蟆油		补肾益精、养阴润肺的功效，临床用于治疗阴虚体弱、神疲乏力、心悸失眠、盗汗不止、痨嗽咳血
土党参		健脾胃、补肺气、祛痰止咳的功效，临床用于治疗虚劳内伤等
墨旱莲		滋补肝肾、凉血止血的功效，临床用于治疗牙齿松动、须发早白、眩晕耳鸣、腰膝酸软、阴虚血热、吐血、衄血、尿血、血痢、崩漏下血、外伤出血
夜关门		补肝肾、益肺阴、散瘀消肿的功效，临床用于治疗遗精、遗尿等
大枣		补中益气、养血安神的功效，临床用于治疗脾虚食少、乏力便溏、妇人脏躁等
天冬		养阴润燥、清肺生津的功效，用于肺燥干咳、顿咳痰黏、咽干口渴、肠燥便秘
太子参		益气健脾、生津润肺的功效，临床用于治疗脾虚体倦、食欲不振、病后虚弱、气阴不足、自汗口渴、肺燥干咳
女贞子		滋补肝肾、明目乌发的功效，临床用于治疗眩晕耳鸣、腰膝酸软、须发早白、目暗不明
小麦		养心、益肾、除热、止渴的功效，临床用于治疗脏躁、烦热、消渴等
山核桃		滋补肝肾、疗癣止痒的功效，临床用于治疗腰膝酸软等
山茱萸		补益肝肾、涩精固脱的功效，临床用于治疗眩晕耳鸣、腰膝酸痛、阳痿遗精、遗尿尿频、崩漏带下、大汗虚脱、内热消渴
山药		补脾养胃、生津益肺、补肾涩精的功效，用于脾虚食少、久泻不止、肺虚喘咳、肾虚遗精、带下、尿频、虚热消渴
山麦冬		养阴生津、润肺清心的功效，临床用于治疗肺燥干咳、虚劳咳嗽、津伤口渴、心烦失眠、肠燥便秘
岩白菜		滋补强壮、止血化痰、清热的功效，临床用于治疗虚弱头晕、劳伤咳嗽等
巴戟天		补肾阳、壮筋骨、祛风湿的功效，临床用于治疗阳痿遗精、宫冷不孕、月经不调、少腹冷痛、风湿痹痛、筋骨痿饮等
当归		补血活血、调经止痛、润肠通便的功效，用于血虚萎黄、眩晕心悸、月经不调、经闭痛经、虚寒腹痛、肠燥便秘、风湿痹痛、跌扑损伤、痈疽疮疡
明党参		润肺化痰、养阴和胃、平肝、解毒的功效，临床用于治疗肺热咳嗽、呕吐反胃、食少口干、目赤眩晕、疔毒疮疡
木耳		补气、凉血止血、润肠通便的功效
李子		清热、生津的功效，临床用于治疗虚劳骨蒸、消渴、腹水等
杜仲		补肝肾、强筋骨、安胎的功效，临床用于治疗肾虚腰痛、筋骨无力、妊娠漏血、胎动不安、高血压
杜仲叶		补肝肾、强筋骨的功效，用于肝肾不足、头晕目眩、腰膝酸痛、筋骨痿软
板栗		益气健脾、补肾强筋、活血消肿的功效
枸杞子		滋补肝肾、益精明目的功效，临床用于治疗虚劳精亏、腰膝酸痛、眩晕耳鸣、内热消渴、目昏不明
柠檬		生津止渴、祛暑益气、下气和胃、安胎的功效，临床用于治疗胃痛、流产等
核桃仁		补肾、温肺、润肠的功效，临床用于治疗腰膝酸软、阳痿遗精、虚寒喘嗽、大便秘结
桂枝		发汗解肌、温通经脉、助阳化气、平冲降气的功效，临床用于治疗风寒感冒、脘腹冷痛、血寒经闭、关节痹痛、痰饮、水肿、心悸、奔豚
桃		补阴的功效
桑寄生		补肝肾、强筋骨、除风湿、安胎的功效，临床用于治疗风湿痹痛、腰膝酸软、筋骨无力、崩漏经多、妊娠漏血、胎动不安、高血压
桑椹		补血滋阴、生津润燥的功效，临床用于治疗眩晕耳鸣、心悸失眠、须发早白、津伤口渴、内热消渴、血虚便秘
桑螵蛸		益肾固精、缩尿、止浊的功效，临床用于治疗遗精滑精、遗尿尿频、小便白浊
梨		生津、润躁、清热、化痰的功效，临床用于治疗肺燥咳嗽、热病烦躁、口干等
楮实子		补肾清肝、明目、利尿的功效，临床用于治疗腰膝酸软、虚劳骨蒸、头晕目昏、目生翳膜、水肿胀满
沙枣		强壮镇静、固精、健胃止泻的功效，临床用于治疗胃痛等
沙苑子		温补肝肾、固精、缩尿、明目的功效，临床用于治疗肾虚腰痛、遗精早泄、白浊带下、小便余沥、眩晕目昏
洋地黄叶		滋阴、养血的功效，临床用于治疗阴虚发热、消渴、吐血等
海参		补肾益精、养血润燥的功效
海狗肾		暖肾壮阳、益精补髓的功效，临床用于治疗虚损劳伤、阳痿精衰、腰膝痿弱等
海肾		补肾作用
海马（中药）		温肾壮阳、散结消肿的功效，用于阳痿、遗尿、肾虚作喘、癥瘕积聚、跌扑损伤，外治痈肿疔疮
海龙		补肾壮阳、散结消肿的功效，用于阳痿遗精、癥瘕积聚、瘰疬痰核、跌扑损伤，外治痈肿疔疮
淫羊藿		补肾阳、强筋骨、祛风湿的功效，临床用于治疗阳痿遗精、筋骨痿软、风湿痹痛、麻木拘挛、更年期高血压
灵芝		药材为多孔菌科真菌灵芝、紫芝的干燥子实体，具补气安神、止咳平喘的功效，临床用于治疗眩晕不眠、心悸气短、虚劳咳喘。
炙甘草		补脾和胃、益气复脉的功效，临床用于治疗脾胃虚弱、倦怠乏力、心动悸、脉结代
炙红芪		补中益气的功效，临床用于治疗气虚乏力、食少便溏等
熟地黄		滋阴补血、益髓填精的功效，临床用于治疗肝肾阴虚、腰膝酸软、骨蒸潮热、盗汗遗精、内热消渴、血虚萎黄、心悸怔忡、月经不调、崩漏下血、眩晕、耳鸣、须发早白
牛奶浆		缓下、润肠的功效，临床用于治疗便秘、痔疾等
牛膝		补肝肾、强筋骨、逐瘀通经、引血下行的功效，临床用于治疗腰膝酸痛、筋骨无力、经闭癥瘕、肝阳眩晕
狗脊		补肝肾、强腰膝、祛风湿的功效，临床用于治疗腰膝酸软、下肢无力、风湿痹痛
猪胆汁		益肺、补脾、润燥的功效，临床用于治疗消渴、便秘、黄疸等
玉竹		养阴润燥、生津止渴的功效，用于肺胃阴伤、燥伤咳嗽、咽干口渴、内热消渴
珠子参		补肺、养阴、活络、止血的功效，临床用于治疗气阴两虚、烦热口渴、虚劳咳嗽、跌扑损伤、关节疼痛、咳血、吐血、外伤出血
瓜参		补肾益精、养血润燥的功效
甘草		补脾益气、清热解毒、祛痰止咳、缓急止痛、调和诸药的功效，临床用于治疗脾胃虚弱，倦怠乏力，心悸气短，咳嗽痰多，脘腹、四肢挛急疼痛，痈肿疮毒，缓解药物毒性、烈性
甘薯		补脾益气的功效
生地黄		清热凉血、养阴、生津的功效，临床用于治疗热病舌绛烦渴、阴虚内热、骨蒸劳热、内热消渴、吐血、衄血、发斑发疹
甲鱼		补阴、清热凉血作用
番茄		生津止渴、健脾消食的功效，临床用于治疗口渴、食欲不振
番薯		补中和血、益气生津、清热解毒、宽肠通便的功效，临床用于治疗便秘、吐泻等
白术		健脾益气、燥湿利水、止汗、安胎的功效，临床用于治疗脾虚食少、腹痛泄泻、痰饮眩晕、水肿、自汗、胎动不安
白芍		平肝止痛、养血调经、敛阴止汗的功效，临床用于治疗头痛目眩、胁痛、腹痛、四肢挛痛、血虚萎黄、月经不调、自汗、盗汗
百灵草		舒筋活络、补虚平喘的功效，临床用于治疗风湿、跌打损伤等
百蕊草		清热解毒、补肾涩精、通脉下乳的功效，临床用于治疗急性乳腺炎、肺炎等
皂矾		燥湿化痰、消积杀虫、止血补血、解毒敛疮的功效
石斛		益胃生津、滋阴清热的功效，用于阴伤津亏、口干烦渴、食少干呕、病后虚热、目暗不明
石楠		祛风、活络、益肾的功效，临床用于治疗肾阳虚、风痹等
石花		养血、明目、补肾、利尿、清热、解毒的功效
硫黄		为自然元素类矿物硫族自然硫。采挖后，加热溶化，除去杂质，或用含硫矿物经加工制得。外用解毒杀虫疗疮，内服补火助阳通便，外治用于疥癣、秃疮、阴疽恶疮，内服用于阳痿足冷、虚喘冷哮、虚寒便秘。
竹节参		滋补强壮、散瘀止痛、止血祛痰的功效，临床用于治疗病后虚弱、劳嗽咯血、咳嗽痰多、跌扑损伤
紫河车		温肾补精、益气养血的功效，临床用于治疗虚损羸瘦、骨蒸盗汗、咳嗽气喘、食少气短、阳痿遗精、不孕少乳
红参		大补元气、复脉固脱、益气摄血的功效，临床用于治疗体虚欲脱、肢冷脉微、气不摄血、崩漏下血、心力衰竭、心原性休克
红芪		补气固表、利尿托毒、排脓、敛疮生肌的功效，临床用于治疗气虚乏力、食少便溏、中气下陷、久泻脱肛、便血崩漏、表虚自汗、气虚水肿、痈疽难溃、血虚萎黄、内热消渴、慢性肾炎蛋白尿、糖尿病
续断		补肝肾、强筋骨、续折伤、止崩漏的功效，临床用于治疗腰膝酸软，风湿痹痛、崩漏、跌扑损伤
肉桂		补火助阳、引火归源、散寒止痛、活血通经的功效，临床用于治疗阳痿、宫冷、腰膝冷痛、肾虚作喘、阳虚眩晕、目赤咽痛、心腹冷痛、虚寒吐泻、寒疝、奔豚、经闭、痛经
肉苁蓉		补肾阳、益精血、润肠通便，用于阳痿、不孕、腰膝酸软、筋骨无力、肠燥便秘
胖大海		清热润肺、利咽解毒、润肠通便的功效，临床用于治疗肺热声哑、干咳无痰、咽喉干痛、热结便闭、头痛目赤
胡芦巴		温肾、祛寒、止痛的功效，临床用于治疗肾脏虚冷、小腹冷痛、小肠疝气、寒湿脚气
芒果		生津止呕、利尿、行气疏滞、生津止渴、解毒疗疮的功效，临床用于治疗口渴、呕吐、伤暑等
芡实		固肾涩精、补脾止泄、祛湿止带的功效，临床用于治疗梦遗滑精、遗尿尿频、脾虚久泻、白浊、带下
苹果		生津润肺、解暑的功效，临床用于治疗咳嗽、心气不足等
莲须		固肾涩精的功效，临床用于治疗遗精滑精、带下、尿频
菟丝子		滋补肝肾、固精缩尿、安胎、明目、止泻的功效，临床用于治疗阳痿遗精、尿有余沥、遗尿尿频、腰膝酸软、目昏耳鸣、肾虚胎漏、胎动不安、脾肾虚泻，外治白癜风
葡萄		补气血、强筋骨、利小便的功效，临床用于治疗气血虚弱、肺虚咳嗽、心悸盗汗等
蚕豆		健脾、利湿的功效，临床用于治疗膈食、水肿、小便不利
蛇床子		温肾壮阳、燥湿、祛风、杀虫的功效，临床用于治疗阳痿、宫冷、寒湿带下、湿痹腰痛，外治外阴湿疹、妇人阴痒、滴虫性阴道炎
蛤蚧		补肺益肾、纳气定喘、助阳益精的功效，用于虚喘气促、劳嗽咳血、阳痿遗精
蜂蜜		补中、润燥、止痛、解毒的功效，临床用于治疗脘腹虚痛、肺燥干咳、肠燥便秘，外治疮疡不敛、水火烫伤
血余炭		止血、化瘀的功效，临床用于治疗吐血、衄血、尿血、崩漏下血、外伤出血
补骨脂		温肾助阳、纳气、止泻的功效，临床用于治疗阳痿遗精、遗尿尿频、腰膝冷痛、肾虚作喘、五更泄泻，外用于治白癜风、斑秃
